Month,Year,Region,QTY
1,2022,Bangkok,185
1,2022,Middle,7
1,2022,East ,20
1,2022,Northeast,18
1,2022,North,15
1,2022,West,3
1,2022,South,13
2,2022,Bangkok,261
2,2022,Middle,2
2,2022,East ,19
2,2022,Northeast,24
2,2022,North,18
2,2022,West,3
2,2022,South,14
3,2022,Bangkok,507
3,2022,Middle,5
3,2022,East ,24
3,2022,Northeast,35
3,2022,North,21
3,2022,West,11
3,2022,South,31
4,2022,Bangkok,318
4,2022,Middle,2
4,2022,East ,8
4,2022,Northeast,19
4,2022,North,26
4,2022,West,1
4,2022,South,15
5,2022,Bangkok,401
5,2022,Middle,2
5,2022,East ,29
5,2022,Northeast,28
5,2022,North,22
5,2022,West,4
5,2022,South,23
6,2022,Bangkok,699
6,2022,Middle,9
6,2022,East ,39
6,2022,Northeast,44
6,2022,North,52
6,2022,West,14
6,2022,South,15
7,2022,Bangkok,447
7,2022,Middle,13
7,2022,East ,34
7,2022,Northeast,25
7,2022,North,17
7,2022,West,7
7,2022,South,32
8,2022,Bangkok,878
8,2022,Middle,12
8,2022,East ,62
8,2022,Northeast,81
8,2022,North,88
8,2022,West,26
8,2022,South,37
9,2022,Bangkok,858
9,2022,Middle,13
9,2022,East ,0
9,2022,Northeast,30
9,2022,North,68
9,2022,West,21
9,2022,South,30
1,2021,Bangkok,155
1,2021,Middle,1
1,2021,East ,5
1,2021,Northeast,6
1,2021,North,7
1,2021,West,1
1,2021,South,3
2,2021,Bangkok,112
2,2021,Middle,0
2,2021,East ,5
2,2021,Northeast,7
2,2021,North,4
2,2021,West,1
2,2021,South,4
3,2021,Bangkok,154
3,2021,Middle,1
3,2021,East ,3
3,2021,Northeast,8
3,2021,North,5
3,2021,West,1
3,2021,South,1
4,2021,Bangkok,108
4,2021,Middle,3
4,2021,East ,2
4,2021,Northeast,4
4,2021,North,9
4,2021,West,0
4,2021,South,4
5,2021,Bangkok,129
5,2021,Middle,1
5,2021,East ,8
5,2021,Northeast,5
5,2021,North,4
5,2021,West,0
5,2021,South,7
6,2021,Bangkok,121
6,2021,Middle,1
6,2021,East ,9
6,2021,Northeast,8
6,2021,North,15
6,2021,West,1
6,2021,South,7
7,2021,Bangkok,90
7,2021,Middle,2
7,2021,East ,2
7,2021,Northeast,7
7,2021,North,5
7,2021,West,2
7,2021,South,5
8,2021,Bangkok,185
8,2021,Middle,1
8,2021,East ,7
8,2021,Northeast,4
8,2021,North,9
8,2021,West,3
8,2021,South,11
9,2021,Bangkok,205
9,2021,Middle,3
9,2021,East ,5
9,2021,Northeast,5
9,2021,North,23
9,2021,West,4
9,2021,South,10
10,2021,Bangkok,125
10,2021,Middle,2
10,2021,East ,8
10,2021,Northeast,3
10,2021,North,6
10,2021,West,3
10,2021,South,1
11,2021,Bangkok,148
11,2021,Middle,0
11,2021,East ,7
11,2021,Northeast,3
11,2021,North,6
11,2021,West,0
11,2021,South,7
12,2021,Bangkok,121
12,2021,Middle,1
12,2021,East ,3
12,2021,Northeast,2
12,2021,North,3
12,2021,West,1
12,2021,South,4
1,2020,Bangkok,175
1,2020,Middle,3
1,2020,East ,14
1,2020,Northeast,24
1,2020,North,26
1,2020,West,5
1,2020,South,18
2,2020,Bangkok,134
2,2020,Middle,2
2,2020,East ,14
2,2020,Northeast,8
2,2020,North,13
2,2020,West,6
2,2020,South,7
3,2020,Bangkok,92
3,2020,Middle,1
3,2020,East ,7
3,2020,Northeast,4
3,2020,North,5
3,2020,West,4
3,2020,South,7
4,2020,Bangkok,71
4,2020,Middle,0
4,2020,East ,6
4,2020,Northeast,9
4,2020,North,6
4,2020,West,2
4,2020,South,2
5,2020,Bangkok,46
5,2020,Middle,1
5,2020,East ,3
5,2020,Northeast,4
5,2020,North,3
5,2020,West,1
5,2020,South,3
6,2020,Bangkok,67
6,2020,Middle,9
6,2020,East ,2
6,2020,Northeast,3
6,2020,North,3
6,2020,West,0
6,2020,South,3
7,2020,Bangkok,46
7,2020,Middle,0
7,2020,East ,2
7,2020,Northeast,3
7,2020,North,3
7,2020,West,2
7,2020,South,1
8,2020,Bangkok,95
8,2020,Middle,2
8,2020,East ,5
8,2020,Northeast,4
8,2020,North,3
8,2020,West,1
8,2020,South,2
9,2020,Bangkok,48
9,2020,Middle,2
9,2020,East ,4
9,2020,Northeast,2
9,2020,North,3
9,2020,West,1
9,2020,South,1
10,2020,Bangkok,78
10,2020,Middle,0
10,2020,East ,5
10,2020,Northeast,1
10,2020,North,1
10,2020,West,2
10,2020,South,3
11,2020,Bangkok,67
11,2020,Middle,0
11,2020,East ,1
11,2020,Northeast,1
11,2020,North,1
11,2020,West,0
11,2020,South,1
12,2020,Bangkok,55
12,2020,Middle,1
12,2020,East ,4
12,2020,Northeast,1
12,2020,North,2
12,2020,West,0
12,2020,South,0
1,2019,Bangkok,7
1,2019,Middle,0
1,2019,East ,0
1,2019,Northeast,0
1,2019,North,0
1,2019,West,0
1,2019,South,1
2,2019,Bangkok,2
2,2019,Middle,0
2,2019,East ,0
2,2019,Northeast,0
2,2019,North,0
2,2019,West,0
2,2019,South,0
3,2019,Bangkok,1
3,2019,Middle,0
3,2019,East ,0
3,2019,Northeast,0
3,2019,North,0
3,2019,West,0
3,2019,South,0
4,2019,Bangkok,2
4,2019,Middle,0
4,2019,East ,0
4,2019,Northeast,0
4,2019,North,0
4,2019,West,0
4,2019,South,0
5,2019,Bangkok,11
5,2019,Middle,0
5,2019,East ,0
5,2019,Northeast,0
5,2019,North,1
5,2019,West,0
5,2019,South,0
6,2019,Bangkok,23
6,2019,Middle,0
6,2019,East ,0
6,2019,Northeast,0
6,2019,North,0
6,2019,West,0
6,2019,South,0
7,2019,Bangkok,4
7,2019,Middle,0
7,2019,East ,0
7,2019,Northeast,0
7,2019,North,0
7,2019,West,0
7,2019,South,0
8,2019,Bangkok,18
8,2019,Middle,1
8,2019,East ,0
8,2019,Northeast,2
8,2019,North,0
8,2019,West,0
8,2019,South,0
9,2019,Bangkok,26
9,2019,Middle,2
9,2019,East ,0
9,2019,Northeast,7
9,2019,North,2
9,2019,West,0
9,2019,South,5
10,2019,Bangkok,126
10,2019,Middle,7
10,2019,East ,2
10,2019,Northeast,20
10,2019,North,6
10,2019,West,5
10,2019,South,8
11,2019,Bangkok,136
11,2019,Middle,10
11,2019,East ,8
11,2019,Northeast,20
11,2019,North,25
11,2019,West,7
11,2019,South,18
12,2019,Bangkok,97
12,2019,Middle,5
12,2019,East ,10
12,2019,Northeast,4
12,2019,North,7
12,2019,West,4
12,2019,South,10
