Operator,Station,Lattitude,Longitude,Charger,AC,DC,Province
EAANYWHERE,MG Deelert Auto Car (Amnat Charoen),15.79754,104.633502,2,0,2,Amnat Charoen 
Elex by EGAT,กระทรวงการคลัง,13.781953,100.535048,2,2,0,Bangkok
Elex by EGAT,Homepro จรัญสนิทวงศ์,13.743951,100.47058,2,2,0,Bangkok
Elex by EGAT,Homepro พระราม 3,13.68693,100.519016,2,2,0,Bangkok
Elex by EGAT,Homepro พระราม 9,13.742699,100.613445,2,2,0,Bangkok
Elex by EGAT,Homepro เอกมัย-รามอินทรา,13.799243,100.614039,2,2,0,Bangkok
EVen,สำนักงานใหญ่ โชเซ่น เอ็นเนอร์จี้ จำกัด,13.74610461,100.6669586,1,1,0,Bangkok
EVen,เซ็นทาราเซ็นทรัลเวิล์ด,13.74768333,100.5383841,2,2,0,Bangkok
EVen,เซ็นทาราเซ็นทรัลลาดพร้าว,13.81792588,100.5603659,2,2,0,Bangkok
EVOLT,Abdulrahim Place,13.727156,100.53879,2,2,0,Bangkok
EVOLT,MOI RAMA6,13.764094,100.52716,3,1,2,Bangkok
EVOLT,DIP RAMA6,13.762979,100.527844,3,1,2,Bangkok
EVOLT,DIP KLUAYNAMTHAI,13.7097852,100.5858177,3,1,2,Bangkok
EVOLT,Major Cineplex Pinklao,13.778718,100.47785,1,1,0,Bangkok
EVOLT,Riverside plaza Bangkok,13.704865,100.4914,2,2,0,Bangkok
EVOLT,Bangkok city tower,13.721529,100.53119,2,2,0,Bangkok
EVOLT,ตลาดสามย่าน,13.736241,100.52369,3,2,1,Bangkok
EVOLT,CU terrace,13.740354,100.52536,1,1,0,Bangkok
EVOLT,Thammasat Tha Phra Chan Campus,13.757569,100.489908,1,1,0,Bangkok
EVOLT,Chula by Toyota,13.736064,100.53234,1,1,0,Bangkok
EVOLT,True Digital Park,13.685758,100.611101,4,4,0,Bangkok
EVOLT,66 Tower,13.6818711,100.6100112,8,6,2,Bangkok
EVOLT,5th element - The Emquatier,13.73254,100.57009,6,6,0,Bangkok
EVOLT,5th element - The Emporium,13.72968905,100.5682523,6,6,0,Bangkok
EVOLT,5th element - The Mall Bangkapi,13.7660558,100.6424919,6,6,0,Bangkok
EVOLT,5th element - The Mall Bangkae,13.71419407,100.40783,6,6,0,Bangkok
EVOLT,The Origin Ramintra 83,13.835257,100.666319,3,3,0,Bangkok
EVOLT,CAS centre,13.75668821,100.5617821,2,2,0,Bangkok
EVOLT,Merck Auto,13.699981,100.54545,3,1,2,Bangkok
EVOLT,The Origin Park Phayathai,13.77198895,100.5360352,2,2,0,Bangkok
EVOLT,Major Tower RR,13.74881155,100.6068578,2,2,0,Bangkok
EVOLT,All season place,13.73903414,100.5483353,2,2,0,Bangkok
EVOLT,Bangkok World,13.80600808,100.6923401,2,2,0,Bangkok
EVOLT,Capella Bangkok,13.71182765,100.5119225,2,2,0,Bangkok
EVOLT,Conrad hotel,13.73860683,100.5483062,2,2,0,Bangkok
EVOLT,Design Village Kaset-Nawamin,13.82138697,100.6338214,3,3,0,Bangkok
EVOLT,Gaysorn Plaza,13.74527478,100.5407933,2,2,0,Bangkok
EVOLT,Mercure Bangkok,13.72918125,100.5696058,2,2,0,Bangkok
EVOLT,Kmutt By Toyota,13.651966,100.492844,1,1,0,Bangkok
EVOLT,Knightsbridge Collage Ramkhamhaeng,13.76211889,100.6400317,2,2,0,Bangkok
EVOLT,MS Siam Tower,13.68620894,100.5472723,2,2,0,Bangkok
EVOLT,Paolo Hospital Phaholyothin,13.79235554,100.5501013,3,3,0,Bangkok
EVOLT,So-Sofitel Bangkok,13.72643939,100.5432989,2,2,0,Bangkok
EVOLT,True Digital Park,13.685758,100.611101,4,4,0,Bangkok
EVOLT,Major Tower TL,13.73221068,100.5830521,2,2,0,Bangkok
HAUP,SINGHA COMPLEX,13.74831524,100.5645784,11,11,0,Bangkok
HAUP,KMUTT,13.65148156,100.4964321,2,2,0,Bangkok
HAUP,KX Knowledge Exchange,13.7204167,100.4960057,3,1,2,Bangkok
HAUP,CU TERRACE,13.740297,100.525256,1,1,0,Bangkok
MEA,การไฟฟ้านครหลวง สาขาย่อยเพลินจิต,13.74436,100.543503,2,2,0,Bangkok
MEA,การไฟฟ้านครหลวง เขตวัดเลียบ,13.742023,100.500337,1,1,0,Bangkok
MEA,การไฟฟ้านครหลวง เขตบางขุนเทียน,13.655254,100.423976,1,1,0,Bangkok
MEA,การไฟฟ้านครหลวง เขตบางเขน,13.871041,100.594866,2,1,1,Bangkok
MEA,การไฟฟ้านครหลวง เขตธนบุรี,13.745345,100.471017,1,1,0,Bangkok
MEA,การไฟฟ้านครหลวง เขตลาดกระบัง,13.814818,100.746821,1,1,0,Bangkok
MEA,การไฟฟ้านครหลวง เขตบางกะปิ,13.744009,100.601519,1,1,0,Bangkok
MEA,การไฟฟ้านครหลวง เขตยานนาวา,13.693448,100.493047,1,1,0,Bangkok
MEA,การไฟฟ้านครหลวง เขตบางนา,13.676208,100.591483,2,2,0,Bangkok
MEA,การไฟฟ้านครหลวง เขตนวลจันทร์,13.819396,100.643762,2,2,0,Bangkok
